appid,title,total_reviews,review_percent
233980,UnEpic,8116,91.4
233860,Kenshi,109786,95.56
234080,Castlevania: Lords of Shadow – Ultimate Edition,10053,80.94
234140,Mad Max,87976,92.3
234190,Receiver,4164,79.71
234270,Ken Follett's The Pillars of the Earth,7405,92.4
234390,Teleglitch: Die More Edition,2886,84.93
234900,Anodyne,1583,84.71
234650,Shadowrun Returns,13563,88.38
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,14258,89.68
234940,The 39 Steps,1605,75.83
235210,STRIDER™ / ストライダー飛竜®,4177,80.56
235250,Super Sanctum TD,1572,86.58
235320,Original War,2126,95.01
235460,METAL GEAR RISING: REVENGEANCE,87354,96.03
235360,Prime World: Defenders,1048,75.67
235540,Warhammer: End Times - Vermintide,21354,79.92
235600,Tom Clancy’s Splinter Cell Blacklist,21050,79.07
235800,Audiosurf 2,6011,82.86
236090,Dust: An Elysian Tail,18922,95.17
236110,Dungeon Defenders II,22040,77.2
236390,War Thunder,725204,72.83
236430,DARK SOULS™ II,45274,88.31
236450,PAC-MAN™ Championship Edition DX+,8093,95.51
236850,Europa Universalis IV,135771,87.56
236730,Anomaly 2,1054,79.22
236690,Blood Bowl 2,9060,78.74
237310,Elsword,9676,73.26
237430,Expeditions: Conquistador,1593,78.97
237630,DuckTales: Remastered,7724,87.77
237740,Angry Video Game Nerd Adventures,3160,88.35
237850,Dreamfall Chapters,4506,82.36
237890,Agarest: Generations of War,1862,71.27
237930,Transistor,31008,93.99
238010,Deus Ex: Human Revolution - Director's Cut,29136,92.03
237990,The Banner Saga,15826,88.95
238070,Shadow Warrior Classic (1997),1622,92.91
238090,Sniper Elite 3,28022,82.09
238260,Pinball Arcade,4145,73.63
238280,Legend of Dungeon,1637,73.0
238320,Outlast,133303,96.46
238430,Contagion,15669,72.75
238370,Magicka 2,13713,82.51
238460,BattleBlock Theater®,72330,97.21
238960,Path of Exile,245454,88.97
239030,"Papers, Please",78367,97.29
239160,Thief,23729,74.56
239120,Final Fantasy III (3D Remake),3490,82.09
239140,Dying Light,480298,95.25
239070,Hammerwatch,6477,89.35
239250,Castlevania: Lords of Shadow 2,6291,84.71
239350,Spelunky,16526,92.16
239430,Q.U.B.E: Director's Cut,1904,82.41
239800,Bleed,1897,92.78
239840,Dead State: Reanimated,2541,73.2
239820,Game Dev Tycoon,44619,95.22
240600,MotoGP™13,1069,79.05
240720,Getting Over It with Bennett Foddy,80417,82.35
241240,Contraption Maker,1301,91.47
241320,Ittle Dew,1335,91.84
241260,Sherlock Holmes: Crimes and Punishments,7693,89.43
240760,Wasteland 2: Director's Cut,8088,82.52
241410,CastleStorm,1615,89.29
241540,State of Decay,17500,84.52
241600,Rogue Legacy,18666,92.51
241930,Middle-earth™: Shadow of Mordor™,94933,92.5
241910,Goodbye Deponia,2444,88.99
242050,Assassin’s Creed® IV Black Flag™,76396,88.45
242550,Rayman® Legends,11574,89.71
242640,Styx: Master of Shadows,11409,83.19
242700,Injustice: Gods Among Us Ultimate Edition,19838,86.27
242680,Nuclear Throne,19372,96.06
242760,The Forest,663036,95.54
242840,In Verbis Virtus,1687,78.78
242860,Verdun,37588,86.18
242820,140,4663,92.49
242880,"Sir, You Are Being Hunted",3901,77.47
242920,Banished,42954,90.42
243200,The Dark Eye: Memoria,2433,89.64
243450,Urban Trial Freestyle,1695,83.24
243780,PixelJunk™ Monsters Ultimate,1273,80.52
243470,Watch_Dogs™,49118,79.03
243950,Divinity: Dragon Commander,2496,73.92
243970,"Invisible, Inc.",5716,91.31
243800,Gas Guzzlers Extreme,4078,86.29
244450,Men of War: Assault Squad 2,45934,91.17
244430,realMyst: Masterpiece Edition,1568,89.03
244210,Assetto Corsa,166545,92.79
244160,Homeworld Remastered Collection,13962,87.97
244710,Shelter,3695,85.06
244730,Divekick,1831,83.78
244870,Electronic Super Joy,3284,89.77
244910,Homesick,1434,78.03
245150,The Novelist,1035,74.69
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,8048,86.03
245170,Skullgirls 2nd Encore,31941,87.93
